index,institutionCode,catalogueNumber,filename,similarity
281535,LSUMNS,164077,TE.R.LSU164077.00000004.Master.Transmission,1
281599,LSUMNS,164077,TE.R.LSU164077.00000005.Master.Transmission,1
281656,LSUMNS,29245,TE.R.LSU29245.00000001.Master.Transmission,1
281720,LSUMNS,29245,TE.R.LSU29245.00000002.Master.Transmission,1
281784,LSUMNS,29245,TE.R.LSU29245.00000003.Master.Transmission,1
281848,LSUMNS,29245,TE.R.LSU29245.00000004.Master.Transmission,1
281912,LSUMNS,29245,TE.R.LSU29245.00000005.Master.Transmission,1
281977,LSUMNS,29246,TE.R.LSU29246.00000001.Master.Transmission,1
282041,LSUMNS,29246,TE.R.LSU29246.00000002.Master.Transmission,1
282105,LSUMNS,29246,TE.R.LSU29246.00000003.Master.Transmission,1
282169,LSUMNS,29246,TE.R.LSU29246.00000004.Master.Transmission,1
282233,LSUMNS,29246,TE.R.LSU29246.00000005.Master.Transmission,1
282294,LSUMNS,30555,TE.R.LSU30555.00000001.Master.Transmission,1
282358,LSUMNS,30555,TE.R.LSU30555.00000002.Master.Transmission,1
282422,LSUMNS,30555,TE.R.LSU30555.00000003.Master.Transmission,1
293942,LSUMNS,30555,TE.T.LSU30555.00000003.Master.Transmission,1
294006,LSUMNS,30555,TE.T.LSU30555.00000004.Master.Transmission,1
294070,LSUMNS,30555,TE.T.LSU30555.00000005.Master.Transmission,1
305341,LSUMNS,108223,TE.U.LSU108223.00000001.Master.Transmission,1
306559,LSUMNS,164077,TE.U.LSU164077.00000005.Master.Transmission,1
306616,LSUMNS,29245,TE.U.LSU29245.00000001.Master.Transmission,1
306680,LSUMNS,29245,TE.U.LSU29245.00000002.Master.Transmission,1
306744,LSUMNS,29245,TE.U.LSU29245.00000003.Master.Transmission,1
306808,LSUMNS,29245,TE.U.LSU29245.00000004.Master.Transmission,1
306872,LSUMNS,29245,TE.U.LSU29245.00000005.Master.Transmission,1
306937,LSUMNS,29246,TE.U.LSU29246.00000001.Master.Transmission,1
307001,LSUMNS,29246,TE.U.LSU29246.00000002.Master.Transmission,1
307065,LSUMNS,29246,TE.U.LSU29246.00000003.Master.Transmission,1
307129,LSUMNS,29246,TE.U.LSU29246.00000004.Master.Transmission,1
307193,LSUMNS,29246,TE.U.LSU29246.00000005.Master.Transmission,1
307254,LSUMNS,30555,TE.U.LSU30555.00000001.Master.Transmission,1
307318,LSUMNS,30555,TE.U.LSU30555.00000002.Master.Transmission,1
307382,LSUMNS,30555,TE.U.LSU30555.00000003.Master.Transmission,1
307446,LSUMNS,30555,TE.U.LSU30555.00000004.Master.Transmission,1
306495,LSUMNS,164077,TE.U.LSU164077.00000004.Master.Transmission,1
306431,LSUMNS,164077,TE.U.LSU164077.00000003.Master.Transmission,1
306367,LSUMNS,164077,TE.U.LSU164077.00000002.Master.Transmission,1
305781,LSUMNS,140133,TE.U.LSU140133.00000003.Master.Transmission,1
305405,LSUMNS,108223,TE.U.LSU108223.00000002.Master.Transmission,1
305469,LSUMNS,108223,TE.U.LSU108223.00000003.Master.Transmission,1
305533,LSUMNS,108223,TE.U.LSU108223.00000004.Master.Transmission,1
305597,LSUMNS,108223,TE.U.LSU108223.00000005.Master.Transmission,1
305653,LSUMNS,140133,TE.U.LSU140133.00000001.Master.Transmission,1
305717,LSUMNS,140133,TE.U.LSU140133.00000002.Master.Transmission,1
305845,LSUMNS,140133,TE.U.LSU140133.00000004.Master.Transmission,1
306303,LSUMNS,164077,TE.U.LSU164077.00000001.Master.Transmission,1
305909,LSUMNS,140133,TE.U.LSU140133.00000005.Master.Transmission,1
305979,LSUMNS,163519,TE.U.LSU163519.00000001.Master.Transmission,1
306043,LSUMNS,163519,TE.U.LSU163519.00000002.Master.Transmission,1
306107,LSUMNS,163519,TE.U.LSU163519.00000003.Master.Transmission,1
306171,LSUMNS,163519,TE.U.LSU163519.00000004.Master.Transmission,1
306235,LSUMNS,163519,TE.U.LSU163519.00000005.Master.Transmission,1
281471,LSUMNS,164077,TE.R.LSU164077.00000003.Master.Transmission,1
281407,LSUMNS,164077,TE.R.LSU164077.00000002.Master.Transmission,1
281343,LSUMNS,164077,TE.R.LSU164077.00000001.Master.Transmission,1
267771,LSUMNS,163519,TE.M.LSU163519.00000004.Master.Transmission,1
262262,LSUMNS,30555,TE.M.B.LSU30555.00000003.Master.Transmission,1
262326,LSUMNS,30555,TE.M.B.LSU30555.00000004.Master.Transmission,1
262390,LSUMNS,30555,TE.M.B.LSU30555.00000005.Master.Transmission,1
266941,LSUMNS,108223,TE.M.LSU108223.00000001.Master.Transmission,1
267005,LSUMNS,108223,TE.M.LSU108223.00000002.Master.Transmission,1
267069,LSUMNS,108223,TE.M.LSU108223.00000003.Master.Transmission,1
267133,LSUMNS,108223,TE.M.LSU108223.00000004.Master.Transmission,1
267197,LSUMNS,108223,TE.M.LSU108223.00000005.Master.Transmission,1
267253,LSUMNS,140133,TE.M.LSU140133.00000001.Master.Transmission,1
267317,LSUMNS,140133,TE.M.LSU140133.00000002.Master.Transmission,1
267381,LSUMNS,140133,TE.M.LSU140133.00000003.Master.Transmission,1
267445,LSUMNS,140133,TE.M.LSU140133.00000004.Master.Transmission,1
267509,LSUMNS,140133,TE.M.LSU140133.00000005.Master.Transmission,1
267579,LSUMNS,163519,TE.M.LSU163519.00000001.Master.Transmission,1
267643,LSUMNS,163519,TE.M.LSU163519.00000002.Master.Transmission,1
262198,LSUMNS,30555,TE.M.B.LSU30555.00000002.Master.Transmission,1
262134,LSUMNS,30555,TE.M.B.LSU30555.00000001.Master.Transmission,1
262072,LSUMNS,29245,TE.M.B.LSU29245.00000005.Master.Transmission,1
261503,LSUMNS,164077,TE.M.B.LSU164077.00000001.Master.Transmission,1
261115,LSUMNS,163519,TE.M.B.LSU163519.00000005.Master.Transmission,1
261180,LSUMNS,164076,TE.M.B.LSU164076.00000001.Master.Transmission,1
261244,LSUMNS,164076,TE.M.B.LSU164076.00000002.Master.Transmission,1
