FileName,institutionCode,collectionCode,catalogueNumber,class,order,family,genus,specificEpithet,infraspecificEpithet,sex,lifeStage,country,locality,decimalLatitude,decimalLongitude,geodeticDatum,verbatimElevation,eventDate,measurementDeterminedDate,Patch,LightAngle1,LightAngle2,ProbeAngle1,ProbeAngle2,Replicate,Comments
TE.H.CM155234.00000004,CM,,155234,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,Pt Jimenez (Penninsula of Oso),8.55000,-83.31667,WGS84,,1929-12-6,,Head,0,0,0,0,00000004,
TE.H.CM155234.00000005,CM,,155234,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,Pt Jimenez (Penninsula of Oso),8.55000,-83.31667,WGS84,,1929-12-6,,Head,0,0,0,0,00000005,
TE.H.CM23548.00000001,CM,,23548,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,Vol. Terrialba,10.00917,-83.74306,WGS84,,1903-10-30,,Head,0,0,0,0,00000001,
TE.H.CM23548.00000002,CM,,23548,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,Vol. Terrialba,10.00917,-83.74306,WGS84,,1903-10-30,,Head,0,0,0,0,00000002,
TE.H.CM23548.00000003,CM,,23548,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,Vol. Terrialba,10.00917,-83.74306,WGS84,,1903-10-30,,Head,0,0,0,0,00000003,
TE.H.CM23548.00000004,CM,,23548,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,Vol. Terrialba,10.00917,-83.74306,WGS84,,1903-10-30,,Head,0,0,0,0,00000004,
TE.H.CM23548.00000005,CM,,23548,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,Vol. Terrialba,10.00917,-83.74306,WGS84,,1903-10-30,,Head,0,0,0,0,00000005,
TE.H.CM26733.00000001,CM,,26733,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,El Hogar [=3 km W Guacimo],10.22917,-83.71139,WGS84,,1905-12-16,,Head,0,0,0,0,00000001,
TE.H.CM26733.00000002,CM,,26733,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,El Hogar [=3 km W Guacimo],10.22917,-83.71139,WGS84,,1905-12-16,,Head,0,0,0,0,00000002,
TE.H.CM26733.00000003,CM,,26733,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,El Hogar [=3 km W Guacimo],10.22917,-83.71139,WGS84,,1905-12-16,,Head,0,0,0,0,00000003,
TE.H.CM26733.00000004,CM,,26733,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,El Hogar [=3 km W Guacimo],10.22917,-83.71139,WGS84,,1905-12-16,,Head,0,0,0,0,00000004,
TE.H.CM26733.00000005,CM,,26733,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,El Hogar [=3 km W Guacimo],10.22917,-83.71139,WGS84,,1905-12-16,,Head,0,0,0,0,00000005,
TE.H.CM28321.00000001,CM,,28321,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,El Pozo de Terraba [=El Pozo del Rio Grande],8.96667,-83.53333,WGS84,,1907-6-13,,Head,0,0,0,0,00000001,
TE.H.CM28321.00000002,CM,,28321,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,El Pozo de Terraba [=El Pozo del Rio Grande],8.96667,-83.53333,WGS84,,1907-6-13,,Head,0,0,0,0,00000002,
TE.H.CM28321.00000003,CM,,28321,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,El Pozo de Terraba [=El Pozo del Rio Grande],8.96667,-83.53333,WGS84,,1907-6-13,,Head,0,0,0,0,00000003,
TE.H.CM28321.00000004,CM,,28321,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,El Pozo de Terraba [=El Pozo del Rio Grande],8.96667,-83.53333,WGS84,,1907-6-13,,Head,0,0,0,0,00000004,
TE.H.CM28321.00000005,CM,,28321,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,El Pozo de Terraba [=El Pozo del Rio Grande],8.96667,-83.53333,WGS84,,1907-6-13,,Head,0,0,0,0,00000005,
TE.H.CM28399.00000001,CM,,28399,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,El Pozo de Terraba [=El Pozo del Rio Grande],8.96667,-83.53333,WGS84,,1907-6-21,,Head,0,0,0,0,00000001,
TE.H.CM28399.00000002,CM,,28399,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,El Pozo de Terraba [=El Pozo del Rio Grande],8.96667,-83.53333,WGS84,,1907-6-21,,Head,0,0,0,0,00000002,
TE.H.CM28399.00000003,CM,,28399,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,El Pozo de Terraba [=El Pozo del Rio Grande],8.96667,-83.53333,WGS84,,1907-6-21,,Head,0,0,0,0,00000003,
TE.H.CM28399.00000004,CM,,28399,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,El Pozo de Terraba [=El Pozo del Rio Grande],8.96667,-83.53333,WGS84,,1907-6-21,,Head,0,0,0,0,00000004,
TE.H.CM28399.00000005,CM,,28399,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,El Pozo de Terraba [=El Pozo del Rio Grande],8.96667,-83.53333,WGS84,,1907-6-21,,Head,0,0,0,0,00000005,
TE.H.CM63927.00000001,CM,,63927,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Colombia,"Sautata, Rio Atrato",7.83333,-77.06667,WGS84,,1918-1-24,,Head,0,0,0,0,00000001,
TE.H.CM63927.00000002,CM,,63927,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Colombia,"Sautata, Rio Atrato",7.83333,-77.06667,WGS84,,1918-1-24,,Head,0,0,0,0,00000002,
TE.H.CM63927.00000003,CM,,63927,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Colombia,"Sautata, Rio Atrato",7.83333,-77.06667,WGS84,,1918-1-24,,Head,0,0,0,0,00000003,
TE.H.CM63927.00000004,CM,,63927,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Colombia,"Sautata, Rio Atrato",7.83333,-77.06667,WGS84,,1918-1-24,,Head,0,0,0,0,00000004,
TE.H.CM63927.00000005,CM,,63927,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Colombia,"Sautata, Rio Atrato",7.83333,-77.06667,WGS84,,1918-1-24,,Head,0,0,0,0,00000005,
TE.H.FMNH21878.00000001,FMNH,,21878,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,Orosi,9.80000,-83.86667,WGS84,,1905-4-22,,Head,0,0,0,0,00000001,
TE.H.FMNH21878.00000002,FMNH,,21878,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,Orosi,9.80000,-83.86667,WGS84,,1905-4-22,,Head,0,0,0,0,00000002,
