FileName,institutionCode,collectionCode,catalogueNumber,class,order,family,genus,specificEpithet,infraspecificEpithet,sex,lifeStage,country,locality,decimalLatitude,decimalLongitude,geodeticDatum,verbatimElevation,eventDate,measurementDeterminedDate,Patch,LightAngle1,LightAngle2,ProbeAngle1,ProbeAngle2,Replicate,Comments
,FMNH,,120080,Aves,Trogoniformes,Trogonidae,Trogon,rufus,rufus,Male,Subadult,Guyana,"Itabu Creek Head, Boundary Camp",1.55000,-58.16667,WGS84,,1938-9-21,,,0,0,0,0,,
,FMNH,,120078,Aves,Trogoniformes,Trogonidae,Trogon,rufus,rufus,Male,Subadult,Guyana,"Itabu Creek, Middle Base Camp",1.75000,-58.03333,WGS84,,1938-9-12,,,0,0,0,0,,
,MZUSP,,106752,Aves,Trogoniformes,Trogonidae,Trogon,rufus,rufus,Male,Adult,Guyana,Tumatumari,5.52225,-59.25964,WGS84,,2011-3-31,,,0,0,0,0,,
,MCZ,,143844,Aves,Trogoniformes,Trogonidae,Trogon,rufus,rufus,Male,Adult,Suriname,Vic. of Paramaribo,5.83333,-55.16667,WGS84,,1923-5-21,,,0,0,0,0,,
,MCZ,,143849,Aves,Trogoniformes,Trogonidae,Trogon,rufus,rufus,Male,Adult,Suriname,Vic. of Paramaribo; Lelydorp,5.70000,-55.26667,WGS84,,1921-9-30,,,0,0,0,0,,
,MZUSP,,108264,Aves,Trogoniformes,Trogonidae,Trogon,rufus,sulphureus,Male,Adult,Brazil,"ME Rio Madeira, Abuna, T9P1",-9.63406,-65.43987,WGS84,,,,,0,0,0,0,,
,MZUSP,,108262,Aves,Trogoniformes,Trogonidae,Trogon,rufus,sulphureus,Male,Adult,Brazil,"ME Rio Madeira, Caiçara, T3P5",-9.45674,-64.86001,WGS84,,2012-6-8,,,0,0,0,0,,
,MZUSP,,108265,Aves,Trogoniformes,Trogonidae,Trogon,rufus,sulphureus,Male,Adult,Brazil,"ME Rio Madeira, Mutum, transecto 7 at 2800m",-9.57201,-65.07419,WGS84,,2013-11-26,,,0,0,0,0,,
,FMNH,,343774,Aves,Trogoniformes,Trogonidae,Trogon,rufus,sulphureus,Male,Subadult,Brazil,"Rio Anari, Pedra Branca",-10.05000,-62.11667,WGS84,,1988-2-25,,,0,0,0,0,,
,MCZ,,263813,Aves,Trogoniformes,Trogonidae,Trogon,rufus,sulphureus,Male,Adult,Ecuador,"Sumaco, Guaticocha, Oriente",-0.75000,-77.40000,WGS84,,1964-8-19,,,0,0,0,0,,
,MCZ,,298303,Aves,Trogoniformes,Trogonidae,Trogon,rufus,sulphureus,Male,Adult,Ecuador,"Montalbo [=Montalvo], Oriente",-2.06667,-76.96667,WGS84,,1964-4-12,,,0,0,0,0,,
,FMNH,,67503,Aves,Trogoniformes,Trogonidae,Trogon,rufus,sulphureus,Male,Subadult,Peru,Puerto Bermudez,-10.33333,-74.90000,WGS84,,1922-3-15,,,0,0,0,0,,
,AMNH,,239986,Aves,Trogoniformes,Trogonidae,Trogon,rufus,sulphureus,Male,Subadult,Peru,"Sta. Rosa, Alto Ucayali",-8.80000,-74.56667,WGS84,,,,,0,0,0,0,,
,FMNH,,72262,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Subadult,Costa Rica,"El Pozo, Rio Terraba",8.96667,-83.53333,WGS84,,1923-12-12,,,0,0,0,0,,
,MCZ,,108293,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Panama,Divala,8.41667,-82.73333,WGS84,,1900-12-13,,,0,0,0,0,,
,FMNH,,73768,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Panama,"C.Z. - B.C.I"" [=Barro Colorado Island, Canal Zone]",9.16150,-79.83840,WGS84,,1928-12-17,,,0,0,0,0,,
